Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
돈까스김밥,한식,x,밥,h,x
시래기국,한식,x,밥,h,o
찐옥수수,한식,x,밥,h,x
민트초코우유,음료,x,,c,
검은콩우유,음료,x,,c,
뽀글이,한식,x,면,h,o
황태해장국,한식,x,밥,h,o
동태전,한식,x,밥,h,x
설빙,디저트 ,x,아이스크림,c,
탕평채,한식,x,밥,c,x
무지개케익,간식,x,떡,c,
소고기덮밥,한식,x,밥,h,x
등갈비,한식,x,밥,h,x
포카리스웨트,음료,x,,c,
보쌈,한식,x,밥,h,x
짜장라면,한식,x,면,h,x
쌀통닭,한식,x,밥,h,x
해파리냉채,한식,x,밥,c,x
돼지김치찌개,한식,o,밥,h,o
김치부침개,한식,o,밥,h,x
콩국수,한식,x,면,c,o
동지팥죽,한식,x,밥,h,x
철판볶음밥,한식,x,밥,h,x
춘천닭갈비,한식,o,밥,h,x
가츠나베,일식,x,밥,h,o
깍두기밥,한식,o,밥,h,x
홍시,간식,x,,c,
냉짬뽕,중식,x,면,c,o
냉우동,일식,x,면,c,o
더덕회무침,한식,x,밥,c,x
바지락칼국수,한식,x,밥,h,o
오꼬노미야끼,일식,x,밥,h,x
단호박식혜,음료,x,,c,
녹차아이스크림,디저트 ,x,아이스크림,c,
꽃게찜,한식,x,밥,h,x
감자전,한식,x,밥,h,x
아바이순대,한식,x,밥,h,x
매실주스,음료,x,,c,
구운김,한식(반찬),x,밥,c,x
오뜨,디저트 ,x,빵,c,
조개관자구이,한식,x,밥,h,x
매운새우깡,간식,o,과자,c,
간짬뽕,중식,o,면,h,x
피카츄돈까스,한식,x,밥,h,x
닭꼬치,일식,x,밥,h,x
명량핫도그,한식,x,밥,h,x
내장탕,한식,o,밥,h,o
흑돼지순댓국,한식,x,밥,h,o
차돌삼합,한식,x,밥,h,x
녹차빙수,디저트 ,x,아이스크림,c,
불닭볶음면,한식,o,밥,h,x
이슬톡톡,음료(술),x,,c,
